,Year,Rank,Game,Overall Prize,Players,Tournaments
0,2019,1,Fortnite,8592910.0,1353,136
1,2019,2,Dota 2,6474681.34,460,47
2,2019,3,Counter-Strike: Global Offensive,6272244.42,1877,226
3,2019,4,League of Legends,3645326.32,1006,62
4,2019,5,Overwatch,2922423.1,708,22
5,2019,6,Rainbow Six Siege,2147183.6,210,12
6,2019,7,PLAYERUNKNOWN’S BATTLEGROUNDS,2085330.45,355,14
7,2019,8,Hearthstone,1768000.0,189,12
8,2019,9,Apex Legends,1237340.16,453,46
9,2019,10,StarCraft II,1216505.07,227,112
10,2019,11,Call of Duty: Black Ops 4,1074807.0,253,28
11,2019,12,Magic: The Gathering Arena,1059000.0,104,9
12,2019,13,FIFA 19,836360.0,123,10
13,2019,14,Rocket League,697990.99,127,15
14,2019,15,Arena of Valor,539360.0,40,2
15,2019,16,Gears of War 4,500000.0,15,2
16,2019,17,Super Smash Bros. Ultimate,319843.72,513,165
17,2019,18,Magic: The Gathering Online,200000.0,24,1
18,2019,19,Tekken 7,177364.54,46,12
19,2019,20,Brawlhalla,140737.5,173,71
20,2019,21,World of WarCraft,120000.0,38,3
21,2019,22,Madden NFL 19,100000.0,5,2
22,2019,23,StarCraft: Brood War,80934.72,37,5
23,2019,24,Age of Empires II: The Age of Kings,79151.45,78,55
24,2019,25,Street Fighter V: Arcade Edition,77635.07,48,10
25,2019,26,Heroes of the Storm,71370.24,40,5
26,2019,27,Artifact,65362.64,179,86
27,2019,28,Guns of Boom,54800.0,4,6
28,2019,29,WarCraft III,41451.6,30,7
29,2019,30,Super Smash Bros. Melee,32402.0,71,18
30,2019,31,Dragon Ball FighterZ,31346.91,24,7
31,2019,32,TrackMania 2: Stadium,29412.88,45,30
32,2019,33,Mortal Kombat 11,28500.86,16,1
33,2019,34,rFactor 2,25752.15,72,7
34,2019,35,Gwent,25000.0,8,1
35,2019,36,NHL 19,19700.0,6,6
36,2019,37,Guilty Gear Xrd REV 2,16432.0,28,7
37,2019,38,Soul Calibur VI,16266.81,31,8
38,2019,39,King of Fighters XIV,14810.21,14,3
39,2019,40,CrossFire,14132.75,57,5
40,2019,41,BlazBlue: Cross Tag Battle,12504.44,29,6
41,2019,42,Team Fortress 2,11244.06,17,1
42,2019,43,Forza Motorsport 7,8500.0,3,3
43,2019,44,RaceRoom Racing Experience,8400.0,37,2
44,2019,45,Pokkén Tournament DX,6762.6,17,4
45,2019,46,Under Night In-Birth EXE: Late[st],4510.0,16,2
46,2019,47,iRacing.com,4451.94,101,5
47,2019,48,Age of Empires,4400.0,8,2
48,2019,49,Black Squad,4009.47,20,2
49,2019,50,BlazBlue: Central Fiction,3685.44,15,3
50,2019,51,Clash Royale,2130.0,1,1
51,2019,52,Age of Empires III,1475.0,19,12
52,2019,53,Marvel vs. Capcom: Infinite,960.0,8,3
53,2019,54,Super Street Fighter II Turbo,890.0,6,2
54,2019,55,Dead or Alive 6,870.0,3,1
55,2019,56,Street Fighter III: 3rd Strike,790.0,8,1
56,2019,57,ARMS,782.85,20,8
57,2019,58,Injustice 2,760.0,9,3
58,2019,59,Vampire Savior,710.0,3,1
59,2019,60,Skullgirls 2nd Encore,660.0,3,1
60,2019,61,Lethal League Blaze,609.76,9,3
61,2019,62,Ultimate Marvel vs. Capcom 3,490.0,3,1
62,2019,63,Mortal Kombat X,480.0,3,1
63,2019,64,Killer Instinct (2013),460.0,5,2
64,2019,65,Assetto Corsa,448.0,1,1
65,2019,66,Guilty Gear XX Accent Core Plus R,440.0,3,1
66,2019,67,Super Smash Bros.,432.2,9,2
67,2019,68,Sailor Moon S,420.0,3,1
68,2019,69,Melty Blood: Actress Again Current Code,350.0,1,1
69,2019,70,Tatsunoko vs. Capcom: Ultimate All-Stars,290.0,3,1
70,2019,71,Super Smash Bros. Brawl,289.62,6,1
71,2019,72,Project M,276.85,10,4
72,2019,73,Fighting EX Layer,220.0,3,1
73,2019,74,Street Fighter Alpha 2,130.0,3,1
74,2019,75,Mario Tennis Aces,51.3,3,1
75,2019,76,Hand of the Gods,34.2,1,1
76,2018,1,Dota 2,41420078.99,1118,167
77,2018,2,Counter-Strike: Global Offensive,22657892.39,4548,828
78,2018,3,Fortnite,20055832.14,1442,174
79,2018,4,League of Legends,14512216.23,1799,178
80,2018,5,PLAYERUNKNOWN’S BATTLEGROUNDS,7572167.16,1473,107
81,2018,6,Overwatch,6590091.65,1452,95
82,2018,7,Heroes of the Storm,5277279.76,368,34
83,2018,8,Hearthstone,4711852.27,828,131
84,2018,9,Call of Duty: World War II,4276751.83,220,38
85,2018,10,StarCraft II,4013357.65,364,434
86,2018,11,Arena of Valor,3324141.25,210,18
87,2018,12,Rocket League,2297363.32,287,74
88,2018,13,FIFA 18,2178215.26,223,35
89,2018,14,Rainbow Six Siege,1884653.23,401,44
90,2018,15,Halo 5: Guardians,1873750.0,96,18
91,2018,16,Shadowverse,1310000.0,24,1
92,2018,17,SMITE,1183500.0,143,11
93,2018,18,Street Fighter V: Arcade Edition,1149508.83,128,45
94,2018,19,CrossFire,1074640.06,151,26
95,2018,20,Gears of War 4,1022000.0,93,7
96,2018,21,NBA 2K18,1000000.0,91,4
97,2018,22,World of WarCraft,740000.0,124,27
98,2018,23,Quake Champions,640710.4,117,130
99,2018,24,Call of Duty: Black Ops 4,640563.0,151,41
100,2018,25,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,615211.0,90,6
101,2018,26,Paladins,559000.0,94,6
102,2018,27,FIFA 19,549019.7,122,13
103,2018,28,StarCraft: Brood War,434390.36,83,31
104,2018,29,Super Smash Bros. Melee,355510.89,260,95
105,2018,30,Gwent,341568.19,51,14
106,2018,31,Tekken 7,304205.36,80,37
107,2018,32,Brawlhalla,297604.7,193,97
108,2018,33,Realm Royale,263000.0,47,9
109,2018,34,Madden NFL 2018,259000.0,32,1
110,2018,35,Super Smash Bros. for Wii U,245789.22,290,114
111,2018,36,Clash Royale,239534.49,59,11
112,2018,37,FIFA Online 4,239000.0,36,1
113,2018,38,FIFA Online 3,237112.5,36,1
114,2018,39,F1 2018,200000.0,21,1
115,2018,40,Magic: The Gathering Online,200000.0,23,1
116,2018,41,WarCraft III,178267.52,80,114
117,2018,42,Injustice 2,158303.76,28,8
118,2018,43,iRacing.com,143340.3,191,18
119,2018,44,Guns of Boom,133950.0,4,14
120,2018,45,Dragon Ball FighterZ,114701.49,50,17
121,2018,46,Warface,109555.0,32,2
122,2018,47,NHL 18,102700.0,20,6
123,2018,48,Creative Destruction,100000.0,8,1
124,2018,49,Zula,100000.0,10,1
125,2018,50,Point Blank,99000.0,10,1
126,2018,51,Pokémon VGC,98500.0,112,15
127,2018,52,Battalion 1944,78576.62,48,7
128,2018,53,H1Z1,75000.0,20,1
129,2018,54,Team Fortress 2,72633.59,90,10
130,2018,55,Super Smash Bros. Ultimate,66282.62,197,40
131,2018,56,Heroes of Newerth,64039.12,0,1
132,2018,57,Age of Empires II: The Age of Kings,61192.13,77,49
133,2018,58,Hand of the Gods,50000.0,13,1
134,2018,59,Artifact,48541.35,90,27
135,2018,60,Age of Empires,41426.72,84,21
136,2018,61,Yu-Gi-Oh! Duel Links,35372.28,234,133
137,2018,62,World of Tanks Blitz,33330.0,0,5
138,2018,63,Battlerite,28750.0,29,2
139,2018,64,RaceRoom Racing Experience,27768.7,91,5
140,2018,65,Madden NFL 19,25000.0,1,1
141,2018,66,TrackMania 2: Stadium,24499.4,64,28
142,2018,67,Forza Motorsport 7,18000.0,1,3
143,2018,68,Killer Instinct (2013),17390.0,13,3
144,2018,69,Guilty Gear Xrd REV 2,15348.0,27,6
145,2018,70,Assetto Corsa,15000.0,8,1
146,2018,71,ARMS,13297.14,71,56
147,2018,72,BlazBlue: Cross Tag Battle,12810.0,11,2
148,2018,73,Project M,10783.06,67,18
149,2018,74,Battlefield 4,10275.45,38,2
150,2018,75,Super Smash Bros.,10173.17,55,13
151,2018,76,Magic: The Gathering Arena,10000.0,16,1
152,2018,77,Soul Calibur VI,8980.0,12,4
153,2018,78,King of Fighters XIV,8000.0,10,2
154,2018,79,BlazBlue: Central Fiction,7790.0,11,2
155,2018,80,Splatoon 2,5360.0,0,3
156,2018,81,Minecraft,4839.15,10,3
157,2018,82,Black Squad,4470.41,52,15
158,2018,83,osu!,4320.0,255,1
159,2018,84,Marvel vs. Capcom: Infinite,4130.0,19,3
160,2018,85,Mortal Kombat XL,3810.0,8,1
161,2018,86,Age of Empires III,3800.0,20,14
162,2018,87,Mortal Kombat 9,3260.0,8,1
163,2018,88,Super Smash Bros. Brawl,2590.0,14,4
164,2018,89,Critical Ops,2500.0,0,1
165,2018,90,NHL 19,2500.0,1,1
166,2018,91,Skullgirls 2nd Encore,2231.0,8,2
167,2018,92,Pokkén Tournament DX,2101.4,11,5
168,2018,93,Sailor Moon S,1163.0,6,3
169,2018,94,QuakeWorld,1042.22,9,3
170,2018,95,Age of Empires Online,1000.0,6,2
171,2018,96,Quake Live,500.0,2,1
172,2018,97,Super Street Fighter II Turbo,500.0,8,1
173,2018,98,Quake II,379.5,2,1
174,2018,99,Xonotic,277.75,10,3
175,2018,100,Warsow,183.0,2,1
176,2018,101,Reflex,163.66,12,3
177,2018,102,Age of Mythology,160.0,3,1
178,2018,103,Lethal League Blaze,11.4,1,1
179,2018,104,Pro Evolution Soccer 2018,0.0,6,1
180,2017,1,Dota 2,38054862.8,1002,160
181,2017,2,Counter-Strike: Global Offensive,19265587.57,4768,902
182,2017,3,League of Legends,12192063.76,1874,180
183,2017,4,Heroes of the Storm,5444449.54,441,41
184,2017,5,Call of Duty: Infinite Warfare,4027894.95,298,72
185,2017,6,Hearthstone,3476623.09,678,122
186,2017,7,Overwatch,3468515.83,1531,265
187,2017,8,StarCraft II,3407271.15,377,645
188,2017,9,Halo 5: Guardians,1748000.0,99,14
189,2017,10,SMITE,1567900.0,143,8
190,2017,11,H1Z1,1551550.0,88,8
191,2017,12,CrossFire,1519054.74,169,36
192,2017,13,Quake Champions,1481152.31,127,55
193,2017,14,FIFA 17,1447883.11,124,40
194,2017,15,Rocket League,1419821.29,254,80
195,2017,16,Street Fighter V,1308719.55,149,49
196,2017,17,Gears of War 4,1064000.0,88,16
197,2017,18,PLAYERUNKNOWN’S BATTLEGROUNDS,1007803.6,193,14
198,2017,19,rFactor 2,1000000.0,30,1
199,2017,20,Madden NFL 2017,904000.0,39,4
200,2017,21,Rainbow Six Siege,820756.78,248,20
201,2017,22,Clash Royale,775496.34,65,9
202,2017,23,World of WarCraft,726000.0,115,17
203,2017,24,World of Tanks,700000.0,98,3
204,2017,25,Injustice 2,630234.6,39,15
205,2017,26,Super Smash Bros. Melee,625446.11,447,292
206,2017,27,Pro Evolution Soccer 2017,510000.0,16,5
207,2017,28,Super Smash Bros. for Wii U,476372.17,390,205
208,2017,29,Arena of Valor,470000.0,57,4
209,2017,30,StarCraft: Brood War,368797.94,82,51
210,2017,31,Paladins,357026.63,108,18
211,2017,32,FIFA Online 3,342023.0,46,2
212,2017,33,Gwent,302988.98,274,91
213,2017,34,Call of Duty: World War II,271000.0,60,21
214,2017,35,WarCraft III,242954.2,96,198
215,2017,36,Tekken 7,227017.1,75,20
216,2017,37,Vainglory,179400.0,101,10
217,2017,38,Brawlhalla,170667.7,157,60
218,2017,39,Blade & Soul,149772.0,24,1
219,2017,40,Point Blank,121570.0,78,4
220,2017,41,Shadowverse,120000.0,24,1
221,2017,42,Heroes of Newerth,117046.61,20,2
222,2017,43,Magic: The Gathering Online,116000.0,16,1
223,2017,44,Pokémon VGC,113000.0,83,9
224,2017,45,KartRider,76160.35,33,2
225,2017,46,Team Fortress 2,74294.7,128,15
226,2017,47,Age of Empires II: The Age of Kings,70603.0,133,24
227,2017,48,iRacing.com,50445.99,146,9
228,2017,49,Hand of the Gods,44400.0,44,34
229,2017,50,FIFA 18,44247.24,29,7
230,2017,51,Killer Instinct (2013),42910.0,39,5
231,2017,52,Pokkén Tournament,35545.0,28,8
232,2017,53,World of Tanks Blitz,30000.0,14,1
233,2017,54,Guilty Gear Xrd REV 2,28350.0,31,6
234,2017,55,Age of Empires,27588.21,65,14
235,2017,56,BlazBlue: Central Fiction,26210.0,38,9
236,2017,57,Project M,25890.48,102,22
237,2017,58,Marvel vs. Capcom: Infinite,23920.0,17,4
238,2017,59,Battlerite,23541.71,42,35
239,2017,60,King of Fighters XIV,22598.67,43,10
240,2017,61,Madden NFL 2018,20676.62,9,2
241,2017,62,Mad Skills Motocross 2,20163.0,12,1
242,2017,63,Rivals of Aether,14100.0,13,3
243,2017,64,Yu-Gi-Oh! Duel Links,13354.44,142,85
244,2017,65,Super Smash Bros.,13273.74,87,19
245,2017,66,Heavy Metal Machines,12339.33,35,1
246,2017,67,Mortal Kombat XL,12252.4,19,5
247,2017,68,Ultimate Marvel vs. Capcom 3,11550.0,24,7
248,2017,69,TrackMania 2: Stadium,11332.19,37,13
249,2017,70,Quake Live,10492.75,21,19
250,2017,71,Critical Ops,10106.41,4,2
251,2017,72,Quake II,10000.0,3,1
252,2017,73,osu!,7560.0,499,3
253,2017,74,Doom (2016),7000.0,6,1
254,2017,75,Guilty Gear Xrd -REVELATOR-,6867.94,21,5
255,2017,76,Pokkén Tournament DX,6029.0,11,3
256,2017,77,Skullgirls 2nd Encore,5780.0,20,3
257,2017,78,Project Cars,5280.79,0,1
258,2017,79,QuakeWorld,5000.0,3,1
259,2017,80,Rage,5000.0,3,1
260,2017,81,The Elder Scrolls: Legends,5000.0,3,1
261,2017,82,Wolfenstein: Enemy Territory,4493.3,23,2
262,2017,83,Power Rangers: Legacy Wars,4178.55,2,1
263,2017,84,Splatoon 2,3425.0,0,3
264,2017,85,Super Smash Bros. Brawl,3401.77,26,7
265,2017,86,Age of Empires III,3300.0,19,7
266,2017,87,ARMS,3257.1,31,13
267,2017,88,Under Night In-Birth EXE: Late[st],3040.0,15,3
268,2017,89,Street Fighter III: 3rd Strike,2958.36,3,2
269,2017,90,Forza Motorsport 6,2500.0,2,2
270,2017,91,Super Street Fighter II Turbo,2490.0,16,4
271,2017,92,Battlefield 4,2305.53,20,1
272,2017,93,ComPet,2000.0,50,1
273,2017,94,Clash of Clans,1576.87,2,1
274,2017,95,Dead or Alive 5: Last Round,1360.0,3,1
275,2017,96,Call of Duty 2,1073.91,6,1
276,2017,97,S.K.I.L.L. - Special Force 2,1000.0,0,1
277,2017,98,Vampire Savior,910.0,8,1
278,2017,99,Under Night In-Birth EXE: Late,750.0,4,1
279,2017,100,Soul Calibur II HD Online,650.0,8,1
280,2017,101,Catherine,570.0,5,2
281,2017,102,Melty Blood: Actress Again Current Code,520.0,8,1
282,2017,103,Age of Empires Online,500.0,8,1
283,2017,104,Capcom vs. SNK 2,470.0,3,1
284,2017,105,Guilty Gear XX Accent Core Plus R,340.0,3,1
285,2017,106,NHL '94,321.2,7,3
286,2017,107,Persona 4 Arena Ultimax,300.0,3,1
287,2017,108,Gundam Versus,280.0,6,1
288,2017,109,Dengeki Bunko: Fighting Climax Ignition,270.0,3,1
289,2017,110,Ultra Street Fighter IV,250.0,3,1
290,2017,111,Xonotic,249.81,8,3
291,2017,112,Puyo Puyo Tetris,240.0,3,1
292,2017,113,Arcana Heart 3: LOVE MAX!!!!!,200.0,3,1
293,2017,114,Koihime Enbu,190.0,3,1
294,2017,115,Chaos Code: New Sign of Catastrophe,140.0,3,1
295,2017,116,Soul Calibur V,120.0,2,1
296,2016,1,Dota 2,37454419.92,896,153
297,2016,2,Counter-Strike: Global Offensive,17257390.23,4378,856
298,2016,3,League of Legends,10517828.44,1580,179
299,2016,4,Heroes of the Storm,4663149.1,388,63
300,2016,5,Call of Duty: Black Ops III,3853863.62,365,54
301,2016,6,Hearthstone,3455125.46,582,134
302,2016,7,Halo 5: Guardians,3411240.03,176,36
303,2016,8,StarCraft II,3182218.75,412,650
304,2016,9,Overwatch,1990735.16,1186,260
305,2016,10,SMITE,1638242.04,316,21
306,2016,11,CrossFire,887159.96,152,20
307,2016,12,Street Fighter V,867026.88,135,60
308,2016,13,FIFA Online 3,835082.4,35,3
309,2016,14,Super Smash Bros. Melee,674473.45,754,749
310,2016,15,Gears of War 4,501285.0,77,16
311,2016,16,World of WarCraft,453000.0,61,4
312,2016,17,Vainglory,424628.65,165,21
313,2016,18,WarCraft III,419963.19,93,108
314,2016,19,Super Smash Bros. for Wii U,419851.99,553,266
315,2016,20,World of Tanks,400000.0,40,2
316,2016,21,Rocket League,369013.89,150,48
317,2016,22,Guild Wars 2,300000.0,100,4
318,2016,23,Mortal Kombat X,290129.99,45,21
319,2016,24,Rainbow Six Siege,278733.58,83,13
320,2016,25,H1Z1,267244.0,18,2
321,2016,26,Heroes of Newerth,246433.55,97,24
322,2016,27,Clash Royale,228859.56,33,7
323,2016,28,Gears of War: Ultimate Edition,170000.0,39,3
324,2016,29,Blade & Soul,156182.4,28,2
325,2016,30,Point Blank,145000.0,74,2
326,2016,31,KartRider,144234.0,19,3
327,2016,32,MechWarrior Online,143490.0,0,1
328,2016,33,Call of Duty: Infinite Warfare,123771.31,48,3
329,2016,34,Magic: The Gathering Online,104000.0,13,1
330,2016,35,Paladins,104000.0,26,2
331,2016,36,Madden NFL 2017,100000.0,16,1
332,2016,37,Mortal Kombat XL,99871.39,23,6
333,2016,38,FIFA 16,93857.41,47,15
334,2016,39,Brawlhalla,78731.09,115,67
335,2016,40,Team Fortress 2,78655.99,218,20
336,2016,41,Tekken 7,78599.54,66,16
337,2016,42,StarCraft: Brood War,75492.76,27,10
338,2016,43,Age of Empires,62321.8,99,20
339,2016,44,Killer Instinct (2013),55479.59,44,12
340,2016,45,Madden NFL 2016,50000.0,8,1
341,2016,46,Age of Empires II: The Age of Kings,48510.14,123,22
342,2016,47,iRacing.com,46853.68,131,6
343,2016,48,Uncharted 4: A Thief's End,46235.07,5,1
344,2016,49,Counter-Strike Online,40000.0,15,1
345,2016,50,Pokkén Tournament,39976.66,34,7
346,2016,51,Project M,38048.66,162,48
347,2016,52,Project Cars,31100.0,19,7
348,2016,53,Grey Goo,30400.0,16,2
349,2016,54,FIFA 17,30305.99,41,4
350,2016,55,Guilty Gear Xrd -REVELATOR-,28899.49,47,11
351,2016,56,Quake Live,28002.76,14,25
352,2016,57,Pro Evolution Soccer 2016,27243.84,17,6
353,2016,58,QuakeWorld,25000.0,16,1
354,2016,59,Old School Runescape,20000.0,2,2
355,2016,60,Super Smash Bros.,18173.98,74,32
356,2016,61,Ultimate Marvel vs. Capcom 3,17761.06,44,24
357,2016,62,Battlerite,12881.74,55,38
358,2016,63,TrackMania 2: Stadium,12278.56,26,14
359,2016,64,Ultra Street Fighter IV,8546.61,42,15
360,2016,65,Metal Gear Online,8000.0,37,8
361,2016,66,Guilty Gear Xrd -SIGN-,7110.0,25,10
362,2016,67,Battlefield 4,6070.68,40,3
363,2016,68,Skullgirls Encore,5110.0,13,4
364,2016,69,King of Fighters XIV,4988.49,18,3
365,2016,70,Pro Evolution Soccer 2017,4697.71,23,11
366,2016,71,osu!,4320.0,245,1
367,2016,72,Super Smash Bros. Brawl,4180.54,36,12
368,2016,73,BlazBlue: Chronophantasma Extend,3974.56,16,6
369,2016,74,Under Night In-Birth EXE: Late,3050.0,19,7
